promedio,porcentaje_creditos,nota_asignatura,nota_entrevista,tipo_monitoria,semestre_asignatura,creditos_asignatura,num_postulantes,num_monitores_requeridos,seleccionado,ratio_competencia,puntaje_formula
3.85,92.6,4.48,3.86,investigacion,5,3,3,1,1,0.3333,4.043
3.63,91.1,4.48,3.11,investigacion,5,3,3,1,0,0.3333,3.677
4.09,32.4,3.28,2.76,investigacion,5,3,3,1,0,0.3333,3.315
4.16,57.6,4.18,4.52,acreditacion,5,3,5,4,1,0.8,4.31
4.36,69.9,3.4,4.12,acreditacion,5,3,5,4,1,0.8,3.976
3.89,68.2,4.09,3.05,acreditacion,5,3,5,4,1,0.8,3.614
4.46,83.7,3.06,3.05,acreditacion,5,3,5,4,1,0.8,3.476
4.07,86.8,4.01,2.57,acreditacion,5,3,5,4,0,0.8,3.452
4.35,54.7,4.07,4.93,nee,5,3,9,2,1,0.2222,4.498
4.92,33.7,4.69,4.01,nee,5,3,9,2,1,0.2222,4.487
4.98,36.0,4.72,3.94,nee,5,3,9,2,0,0.2222,4.486
4.14,43.6,4.61,4.32,nee,5,3,9,2,0,0.2222,4.353
4.36,69.9,4.66,4.05,nee,5,3,9,2,0,0.2222,4.326
4.47,30.7,4.91,3.34,nee,5,3,9,2,0,0.2222,4.15
4.38,75.5,3.76,3.88,nee,5,3,9,2,0,0.2222,3.994
4.58,56.6,3.68,2.89,nee,5,3,9,2,0,0.2222,3.634
4.16,57.6,3.19,2.74,nee,5,3,9,2,0,0.2222,3.301
3.55,73.5,4.97,4.64,academica,4,3,3,1,1,0.3333,4.412
4.12,82.4,4.32,4.43,academica,4,3,3,1,0,0.3333,4.304
4.76,56.4,4.73,3.45,academica,4,3,3,1,0,0.3333,4.227
4.9,43.7,4.98,4.1,cultural,6,3,6,3,1,0.5,4.604
4.94,65.9,3.53,4.84,cultural,6,3,6,3,1,0.5,4.477
3.97,94.9,4.3,4.02,cultural,6,3,6,3,1,0.5,4.089
4.32,36.7,3.34,4.32,cultural,6,3,6,3,0,0.5,4.026
4.49,83.2,3.33,3.45,cultural,6,3,6,3,0,0.5,3.726
4.51,83.4,3.74,3.02,cultural,6,3,6,3,0,0.5,3.683
3.9,32.3,4.69,4.44,biblioteca,5,4,8,2,1,0.25,4.353
4.67,51.7,4.83,3.65,biblioteca,5,4,8,2,1,0.25,4.31
4.16,79.8,3.42,4.86,biblioteca,5,4,8,2,0,0.25,4.218
4.88,82.7,4.31,3.49,biblioteca,5,4,8,2,0,0.25,4.153
4.65,59.1,4.75,3.29,biblioteca,5,4,8,2,0,0.25,4.136
4.49,83.2,3.63,3.17,biblioteca,5,4,8,2,0,0.25,3.704
4.09,32.3,3.53,3.12,biblioteca,5,4,8,2,0,0.25,3.534
3.8,53.5,3.46,2.58,biblioteca,5,4,8,2,0,0.25,3.21
4.92,78.4,3.76,4.99,biblioteca,5,3,10,3,1,0.3,4.6
4.69,32.4,4.06,4.93,biblioteca,5,3,10,3,1,0.3,4.597
4.94,57.0,4.25,4.48,biblioteca,5,3,10,3,1,0.3,4.549
4.55,73.8,3.44,4.99,biblioteca,5,3,10,3,0,0.3,4.393
4.98,36.0,4.8,3.5,biblioteca,5,3,10,3,0,0.3,4.334
3.85,92.6,4.44,4.2,biblioteca,5,3,10,3,0,0.3,4.167
4.13,74.1,4.02,2.73,biblioteca,5,3,10,3,0,0.3,3.537
3.52,62.8,4.72,2.53,biblioteca,5,3,10,3,0,0.3,3.484
